case_number,total_matches,num_files,file_paths
CR-25-702560-A,33,3,out/2025/2025-702560_20251121_004724.json;out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2025/2025-702560_20251121_004700.json;out/obstructing_cases/out/2025/2025-702560_20251121_004724.json
CR-25-702654-A,3,1,out/2025/2025-702654_20251121_010707.json
CR-25-702664-A,3,1,out/2025/2025-702664_20251121_011138.json
CR-25-702681-A,3,1,out/2025/2025-702681_20251121_011414.json
CR-25-702704-A,2,1,out/2025/2025-702704_20251121_011716.json
CR-25-702707-A,2,1,out/2025/2025-702707_20251121_011911.json
CR-25-702776-A,1,1,out/2025/2025-702776_20251112_074120.json
CR-25-702870-A,3,1,out/2025/2025-702870_20251121_014406.json
CR-25-702912-A,3,1,out/2025/2025-702912_20251121_015645.json
CR-25-702934-A,6,2,out/2025/2025-702934_20251121_020226.json;out/obstructing_cases/out/2025/2025-702934_20251121_020226.json
CR-25-702947-A,4,1,out/2025/2025-702947_20251121_020314.json
CR-25-702984-A,3,1,out/2025/2025-702984_20251121_021411.json
CR-25-702992-A,3,1,out/2025/2025-702992_20251121_021409.json
CR-25-703046-A,1,1,out/2025/2025-703046_20251112_075021.json
CR-25-703059-A,2,2,out/2025/2025-703059_20251112_075115.json;out/obstructing_cases/out/2025/2025-703059_20251112_075115.json
CR-25-703068-A,1,1,out/2025/2025-703068_20251112_075207.json
CR-25-703144-A,4,1,out/2025/2025-703144_20251121_022905.json
CR-25-703245-A,1,1,out/2025/2025-703245_20251112_075825.json
CR-25-703256-A,2,1,out/2025/2025-703256_20251112_075846.json
CR-25-703257-A,1,1,out/2025/2025-703257_20251112_075847.json
CR-25-703260-A,1,1,out/2025/2025-703260_20251112_075935.json
CR-25-703487-A,7,3,out/2025/2025-703487_20251121_033358.json;out/obstructing_cases/archived_jsons_aggressive_20260101_084154/out/2025/2025-703487_20251121_033323.json;out/obstructing_cases/out/2025/2025-703487_20251121_033358.json
CR-25-703497-A,3,1,out/2025/2025-703497_20251121_033500.json
CR-25-703506-A,2,1,out/2025/2025-703506_20251121_033944.json
CR-25-703527-A,3,1,out/2025/2025-703527_20251121_034231.json
CR-25-703540-A,2,1,out/2025/2025-703540_20251121_034618.json
CR-25-703702-A,3,1,out/2025/2025-703702_20251121_041640.json
CR-25-703806-A,3,1,out/2025/2025-703806_20251121_043851.json
CR-25-703844-A,9,1,out/2025/2025-703844_20251121_044555.json
CR-25-703867-A,6,2,out/2025/2025-703867_20251121_045300.json;out/obstructing_cases/out/2025/2025-703867_20251121_045300.json
CR-25-703892-A,3,1,out/2025/2025-703892_20251121_045652.json
CR-25-703901-A,2,1,out/2025/2025-703901_20251121_045755.json
CR-25-704009-A,3,1,out/2025/2025-704009_20251121_051938.json
CR-25-704011-A,4,1,out/2025/2025-704011_20251121_051812.json
CR-25-704021-A,3,1,out/2025/2025-704021_20251121_052133.json
CR-25-704034-A,3,1,out/2025/2025-704034_20251121_052417.json
CR-25-704053-A,4,2,out/2025/2025-704053_20251121_052637.json;out/obstructing_cases/out/2025/2025-704053_20251121_052637.json
CR-25-704056-A,3,1,out/2025/2025-704056_20251121_052913.json
CR-25-704057-A,3,1,out/2025/2025-704057_20251121_052847.json
CR-25-704066-A,3,1,out/2025/2025-704066_20251121_052834.json
CR-25-704120-A,3,1,out/2025/2025-704120_20251121_054020.json
CR-25-704163-A,3,1,out/2025/2025-704163_20251121_054806.json
CR-25-704174-A,2,1,out/2025/2025-704174_20251121_055423.json
CR-25-704176-A,3,1,out/2025/2025-704176_20251121_055357.json
CR-25-704210-A,3,1,out/2025/2025-704210_20251121_060203.json
CR-25-704257-A,6,2,out/2025/2025-704257_20251121_060906.json;out/obstructing_cases/out/2025/2025-704257_20251121_060906.json
CR-25-704309-A,3,1,out/2025/2025-704309_20251121_062408.json
